Date,Yearly
2016-12-01,-0.008913072
2017-01-01,0.011820763
2017-02-01,0.032142047
2017-03-01,0.031174898
2017-04-01,0.020435987
2017-05-01,-0.0059898715
2017-06-01,-0.027589964
2017-07-01,-0.04178178
2017-08-01,-0.048962727
2017-09-01,-0.045264497
2017-10-01,-0.03268445
2017-11-01,0.0037691782
2017-12-01,0.0500472
2018-01-01,0.09344555
2018-02-01,0.11895088
2018-03-01,0.105166875
2018-04-01,0.05527171
2018-05-01,-0.029579574
2018-06-01,-0.118792385
2018-07-01,-0.19321734
2018-08-01,-0.23904148
2018-09-01,-0.22762716
2018-10-01,-0.15498827
2018-11-01,-0.018264841
2018-12-01,0.15650009
2019-01-01,0.33110005
2019-02-01,0.4563116
2019-03-01,0.48071837
2019-04-01,0.39964792
2019-05-01,0.17698523
2019-06-01,-0.080905326
2019-07-01,-0.3457687
2019-08-01,-0.5600435
2019-09-01,-0.6705693
2019-10-01,-0.64434075
2019-11-01,-0.47233143
2019-12-01,-0.199227
